 Entity,Year,Passengers
World,1945,9000000
World,1946,18000000
World,1947,21000000
World,1948,24000000
World,1949,27000000
World,1950,31000000
World,1951,42000000
World,1952,46000000
World,1953,53000000
World,1954,59000000
World,1955,68000000
World,1956,77000000
World,1957,86000000
World,1958,88000000
World,1959,98000000
World,1960,106000000
World,1961,111000000
World,1962,121000000
World,1963,135000000
World,1964,155000000
World,1965,177000000
World,1966,200000000
World,1967,233000000
World,1968,260277000
World,1969,293230000
World,1970,382954000
World,1971,410919000
World,1972,450136000
World,1973,488514000
World,1974,514496000
World,1975,534024000
World,1976,576421000
World,1977,610322000
World,1978,678645000
World,1979,754117000
World,1980,748288000
World,1981,752271000
World,1982,765806000
World,1983,797810000
World,1984,847931000
World,1985,899218000
World,1986,960012000
World,1987,1027856000
World,1988,1082474000
World,1989,1109478000
World,1990,1165156000
World,1991,1135185000
World,1992,1145553000
World,1993,1142382000
World,1994,1233341000
World,1995,1303645000
World,1996,1391085000
World,1997,1456690000
World,1998,1471470000
World,1999,1562324000
World,2000,1774388417916
World,2001,1740675037975
World,2002,1738934362937
World,2003,1794580262551
World,2004,2002751573007
World,2005,2144946934691
World,2006,226325010576
World,2007,2461986320262
World,2008,2500044331773
World,2009,2488281562028
World,2010,2707866526709
World,2011,2883000000
World,2012,3013000000
World,2013,3148000000
World,2014,3327000000
World,2015,3567000000
World,2016,3806000000
World,2017,4075000000
World,2018,4341000000
World,2019,4490000000
World,2020,1782000000
World,2021,2284000000
